ballotid,st,state,stateno,state_fips,state_icpsr,year,ballotname,ballotdescrip,type,electiontype,passed,pctyesvotes,unknownstatus,unofficialvotetotal,topicarea,abort,agricult,animalrights_huntfish,arts_cult,banking_finance,bond_meas,budgets,bus_commerce,civil_conlaw,criminal,drug,econdev,ed_higher,ed_prek12,elections,elections_initiative,energy_electric,environ,ethics_lobby_camfin,fedgov,gambling_lottery,health,humanservices,insurance,judiciary,juvenile_justice,labor_employ,landuse_proprights,legislatures,localgov,military_vet,natresourc,redistricting,stategov,tribalrelat,tax_rev,telecom_it,termlimits,transportation,cumulbystate,totalbystate
CA327,CA,California,5,6,71,1936 ,Proposition 18,Oleomargarine Tax, Popular Referendum , General,0,20.89999962,0,0, Agriculture | Business & Commerce | Tax & Revenue ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,327,1238
CA328,CA,California,5,6,71,1936 ,Proposition 11,Instructors' Tenure, Initiative , General,0,25.79999924,0,0, Education: PreK-12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1238
CA329,CA,California,5,6,71,1936 ,Proposition 8,Registration of Voters, Legislative Referendum , General,0,28.29999924,0,0, Elections ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,1238
CA330,CA,California,5,6,71,1936 ,Proposition 9,Intoxicating Liquors. Local Option., Initiative , General,0,32.79999924,0,0, Business & Commerce | Drug/Alcohol/Tobacco Policy | Local Government ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,330,1238
CA331,CA,California,5,6,71,1936 ,Proposition 3,Liquor Control, Initiative , General,0,34.29999924,0,0, Business & Commerce | Drug/Alcohol/Tobacco Policy ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1238
CA332,CA,California,5,6,71,1936 ,Proposition 7,County and Municipal Civil Service, Initiative , General,0,36.29999924,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,332,1238
CA333,CA,California,5,6,71,1936 ,Proposition 2,Personal Income Taxes, Initiative , General,0,38.20000076,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,333,1238
CA334,CA,California,5,6,71,1936 ,Proposition 5,Los Angeles County Exposition Bonds, Legislative Referendum , General,0,38.90000153,0,0, Bond Measures | Local Government ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,334,1238
CA335,CA,California,5,6,71,1936 ,Proposition 6,Amending Los Angeles City Charter, Legislative Referendum , General,0,42.40000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,335,1238
CA336,CA,California,5,6,71,1936 ,Proposition 20,Publicly-Owned Museums or Art Galleries, Legislative Referendum , General,0,43.5,0,0, Arts & Culture | Local Government | State Government ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,336,1238
CA337,CA,California,5,6,71,1936 ,Proposition 22,Retail Store License, Popular Referendum , General,0,43.79999924,0,0, Business & Commerce ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,1238
CA338,CA,California,5,6,71,1936 ,Proposition 10,Motor Vehicle Fuel Taxes and License Fees, Initiative , General,0,43.90000153,0,0, Tax & Revenue | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,338,1238
CA339,CA,California,5,6,71,1936 ,Proposition 16,Water Districts and Water Conservation Districts., Legislative Referendum , General,0,44.40000153,0,0, Local Government | Natural Resources ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,339,1238
CA340,CA,California,5,6,71,1936 ,Proposition 19,Legislative Printing, Legislative Referendum , General,0,45.90000153,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,340,1238
CA341,CA,California,5,6,71,1936 ,Proposition 14,Consolidated City and County Government, Legislative Referendum , General,0,47.20000076,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,341,1238
CA342,CA,California,5,6,71,1936 ,Proposition 4,Prohibiting Tideland Surface Oil Drilling. Authorizing Slant Drilling from Uplands., Initiative , General,0,47.29999924,0,0, Environmental Protection | Natural Resources ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,342,1238
CA343,CA,California,5,6,71,1936 ,Proposition 21,Penal Institutions for Punishment of Female Felons, Legislative Referendum , General,1,50.20000076,0,0, Criminal Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1238
CA344,CA,California,5,6,71,1936 ,Proposition 24,"Charters of Cities, or Cities and Counties", Legislative Referendum , General,1,52.59999847,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,344,1238
CA345,CA,California,5,6,71,1936 ,Proposition 15,Relief to Assessment Districts, Legislative Referendum , General,1,52.90000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,345,1238
CA346,CA,California,5,6,71,1938 ,Proposition 24,Leasing State-Owned Tidelands for Oil Drilling, Popular Referendum , General,0,15.10000038,0,0, Environmental Protection | Natural Resources | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,346,1238
CA347,CA,California,5,6,71,1938 ,Proposition 20,Taxation, Initiative , General,0,16.89999962,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347,1238
CA348,CA,California,5,6,71,1938 ,Proposition 19,Lending or Gift of Public Money, Legislative Referendum , General,0,21.39999962,0,0, Budgets | Human Services | Military & Veterans Affairs ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,348,1238
CA349,CA,California,5,6,71,1938 ,Proposition 10,Oil Leases on State-Owned Tidelands at Huntington Beach, Popular Referendum , General,0,22.79999924,0,0, Environmental Protection | Natural Resources ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,349,1238
CA350,CA,California,5,6,71,1938 ,Proposition 23,Legislative Help, Legislative Referendum , General,0,24.70000076,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1238
CA351,CA,California,5,6,71,1938 ,Proposition 8,Apportionment of Funds to Political Subdivisions, Legislative Referendum , General,0,25.60000038,0,0, Budgets | Local Government | State Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,351,1238
CA352,CA,California,5,6,71,1938 ,Proposition 13,Revenue Bond Act of 1937, Popular Referendum , General,0,26.10000038,0,0, Bond Measures | Energy & Electric Utilities ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,1238
CA353,CA,California,5,6,71,1938 ,Proposition 11,State and County Boards of Equalization, Legislative Referendum , General,0,28.29999924,0,0, Local Government | State Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,353,1238
CA354,CA,California,5,6,71,1938 ,Proposition 2,Regulation of Pounds, Initiative , General,0,31.29999924,0,0, Business & Commerce | Natural Resources ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,354,1238
CA355,CA,California,5,6,71,1938 ,Proposition 21,"Church, Orphanage, and College Tax Exemptions", Legislative Referendum , General,0,36.5,0,0, Education: PreK-12 | Human Services | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,355,1238
CA356,CA,California,5,6,71,1938 ,Proposition 22,City Charters, Legislative Referendum , General,0,39.29999924,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,356,1238
CA357,CA,California,5,6,71,1938 ,Proposition 9,Veterans Tax Exemption, Legislative Referendum , General,0,39.40000153,0,0, Military & Veterans Affairs | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,357,1238
CA358,CA,California,5,6,71,1938 ,Proposition 4,Highway and Traffic Safety Commission, Initiative , General,0,40,0,0, State Government | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,358,1238
CA359,CA,California,5,6,71,1938 ,Proposition 1,Labor, Initiative , General,0,42,0,0, Labor & Employment ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,359,1238
CA360,CA,California,5,6,71,1938 ,Proposition 16,Retirement of Judges, Legislative Referendum , General,0,42.70000076,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1238
CA361,CA,California,5,6,71,1938 ,Proposition 25,Retirement Life Payments, Initiative , General,0,44.90000153,0,0, Human Services ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,1238
CA362,CA,California,5,6,71,1938 ,Proposition 15,Judicial Council, Legislative Referendum , General,0,45.29999924,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,1238
CA363,CA,California,5,6,71,1938 ,Proposition 18,State Money, Legislative Referendum , General,0,45.29999924,0,0, Banking & Financial Services | Tax & Revenue ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,363,1238
CA364,CA,California,5,6,71,1938 ,Proposition 12,San Francisco Bay Exposition, Legislative Referendum , General,1,53.09999847,0,0, Arts & Culture | Local Government | Tax & Revenue ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,364,1238
CA365,CA,California,5,6,71,1938 ,Proposition 17,Initiative, Legislative Referendum , General,1,54.20000076,0,0, Elections-Initiative Process ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,1238
CA366,CA,California,5,6,71,1938 ,Proposition 7,Relief Administration, Legislative Referendum , General,1,58.29999924,0,0, Human Services | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,366,1238
CA367,CA,California,5,6,71,1938 ,Proposition 5,Fishing Control, Initiative , General,1,62.20000076,0,0, Animal Rights/Hunting & Fishing | Business & Commerce | Natural Resources ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,367,1238
CA368,CA,California,5,6,71,1938 ,Proposition 3,Motor Vehicle Taxation and Revenue, Legislative Referendum , General,1,66.30000305,0,0, Budgets | Transportation ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,368,1238
CA369,CA,California,5,6,71,1938 ,Proposition 6,Taxation of Insurance Companies, Legislative Referendum , General,1,70,0,0, Insurance | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,369,1238
CA370,CA,California,5,6,71,1938 ,Proposition 14,Removal of Judges Upon Conviction of Crime, Legislative Referendum , General,1,83.69999695,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,1238
CA371,CA,California,5,6,71,1939 ,Proposition 2,Chiropractors, Initiative , Special,0,29.70000076,0,0, Health ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1238
CA372,CA,California,5,6,71,1939 ,Proposition 1,Retirement Warrants, Initiative , Special,0,33.90000153,0,0, Bond Measures | Human Services | State Government ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,372,1238
CA373,CA,California,5,6,71,1939 ,Proposition 5,Oil and Gas Control, Popular Referendum , Special,0,38.70000076,0,0, Energy & Electric Utilities | Natural Resources | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,373,1238
CA374,CA,California,5,6,71,1939 ,Proposition 3,Personal Property Brokers, Popular Referendum , Special,1,71.09999847,0,0, Business & Commerce ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1238
CA375,CA,California,5,6,71,1939 ,Proposition 4,Personal Property Brokers, Popular Referendum , Special,1,71.59999847,0,0, Business & Commerce ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,1238
CA376,CA,California,5,6,71,1940 ,Proposition 13,Sale or Lease of State Park Lands Containing Oil or Gas Deposits, Legislative Referendum , General,0,15.10000038,0,0, Natural Resources | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,376,1238
CA377,CA,California,5,6,71,1940 ,Proposition 9,Tax-Exempt Vessels, Legislative Referendum , General,0,26.39999962,0,0, Tax & Revenue | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,377,1238
CA378,CA,California,5,6,71,1940 ,Proposition 5,Daylight Savings, Initiative , General,0,30,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,1238
CA379,CA,California,5,6,71,1940 ,Proposition 16,"Legislature, Budgets, Governor", Legislative Referendum , General,0,30.5,0,0, Budgets | Legislatures | State Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,379,1238
CA380,CA,California,5,6,71,1940 ,Proposition 15,Transfer of Funds by City Treasurer, Legislative Referendum , General,0,37.90000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,380,1238
CA381,CA,California,5,6,71,1940 ,Proposition 7,Appellate Courts, Legislative Referendum , General,0,40.09999847,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,1238
CA382,CA,California,5,6,71,1940 ,Proposition 14,Apportionment of Certain Monies to Political Subdivisions for Political Purposes, Legislative Referendum , General,0,40.59999847,0,0, Ethics/Lobbying/Campaign Finance | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,382,1238
CA383,CA,California,5,6,71,1940 ,Proposition 17,"Personal Liability Insurance for Officers, Agents and Employees of State and Political Subdivisions", Legislative Referendum , General,0,41.5,0,0, Insurance | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,383,1238
CA384,CA,California,5,6,71,1940 ,Proposition 6,"Court Review of Acts of Administrative Officers, Boards and Commissions", Legislative Referendum , General,0,49.59999847,0,0, State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,384,1238
CA385,CA,California,5,6,71,1940 ,Proposition 3,Institutions for Felons, Legislative Referendum , General,1,50.09999847,0,0, Criminal Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1238
CA386,CA,California,5,6,71,1940 ,Proposition 12,Legislative Committees, Legislative Referendum , General,1,52.09999847,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,386,1238
CA387,CA,California,5,6,71,1940 ,Proposition 11,Permitting State to Own Shares in Mutual Water Companies, Legislative Referendum , General,1,58.70000076,0,0, Business & Commerce | State Government ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,387,1238
CA388,CA,California,5,6,71,1940 ,Proposition 1,"Releasing Obligations, Encumbrances and Agreements Taken as Security for State Aid to Aged Persons", Legislative Referendum , General,1,62.09999847,0,0, Human Services | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,388,1238
CA389,CA,California,5,6,71,1940 ,Proposition 10,Proceedings for Public Improvements or Acquisition of Property for Public Use, Legislative Referendum , General,1,62.59999847,0,0, Natural Resources | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,389,1238
CA390,CA,California,5,6,71,1940 ,Proposition 8,Fish and Game Commission, Legislative Referendum , General,1,63.59999847,0,0, Animal Rights/Hunting & Fishing | Natural Resources | State Government ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,390,1238
CA391,CA,California,5,6,71,1940 ,Proposition 4,Election Returns for Governor and Lieutenant Governor, Legislative Referendum , General,1,64,0,0, Elections ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,1238
CA392,CA,California,5,6,71,1940 ,Proposition 2,Release of Encumbrances Given for Security for Old Age Aid, Legislative Referendum , General,1,64,0,0, Human Services | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,392,1238
CA393,CA,California,5,6,71,1942 ,Proposition 15,Supreme and Appellate Court Procedure, Legislative Referendum , General,0,22.10000038,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,1238
CA394,CA,California,5,6,71,1942 ,Proposition 16,Decisions by Administrative Officers, Legislative Referendum , General,0,22.70000076,0,0, State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,394,1238
CA395,CA,California,5,6,71,1942 ,Proposition 10,Reorganization of Building and Loan Associations, Initiative , General,0,27.20000076,0,0, Banking & Financial Services ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,1238
CA396,CA,California,5,6,71,1942 ,Proposition 3,Basic Science Act, Initiative , General,0,34,0,0, Health ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,1238
CA397,CA,California,5,6,71,1942 ,Proposition 5,"Compensation of Legislative Members Increased, Mileage Maximum Fixed", Legislative Referendum , General,0,35.59999847,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,397,1238
CA398,CA,California,5,6,71,1942 ,Proposition 14,Rates of Interest on Loans and Judgments, Legislative Referendum , General,0,37.59999847,0,0, Banking & Financial Services ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,1238
CA399,CA,California,5,6,71,1942 ,Proposition 2,Annual Legislative Sessions and Budgets, Legislative Referendum , General,0,42.59999847,0,0, Legislatures ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399,1238
CA400,CA,California,5,6,71,1942 ,Proposition 13,Boards of Equalization, Legislative Referendum , General,0,44.90000153,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,400,1238
CA401,CA,California,5,6,71,1942 ,Proposition 4,Personal Income Tax Laws, Initiative , General,0,45.70000076,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,401,1238
CA402,CA,California,5,6,71,1942 ,Proposition 9,Compensation of Specified State Officers May Be Changed During Term of Office, Legislative Referendum , General,0,46.09999847,0,0, Labor & Employment | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,402,1238
CA403,CA,California,5,6,71,1942 ,Proposition 6,Board of Forestry Established, Legislative Referendum , General,0,49.20000076,0,0, Natural Resources | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,403,1238
CA404,CA,California,5,6,71,1942 ,Proposition 1,"Prohibiting ""Hot Cargo,"" ""Secondary Boycott""", Popular Referendum , General,1,55.29999924,0,0, Labor & Employment ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,404,1238
CA405,CA,California,5,6,71,1942 ,Proposition 12,"School Districts, Fifth and Sixth Class Cities May Acquire Stock in Municipal Water Companies", Legislative Referendum , General,1,56.40000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,405,1238
CA406,CA,California,5,6,71,1942 ,Proposition 17,State Treasurer Trustee of Certain State Moneys, Legislative Referendum , General,1,67.80000305,0,0, State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,406,1238
CA407,CA,California,5,6,71,1942 ,Proposition 7,Taxation of Insurance Companies, Legislative Referendum , General,1,69.69999695,0,0, Insurance | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,407,1238
CA408,CA,California,5,6,71,1942 ,Proposition 11,Boxing and Wrestling Matches Regulated, Legislative Referendum , General,1,70.40000153,0,0, Business & Commerce | Military & Veterans Affairs ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,408,1238
CA409,CA,California,5,6,71,1942 ,Proposition 18,Reapportionment Commission, Legislative Referendum , General,1,71.90000153,0,0, Redistricting | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,409,1238
CA410,CA,California,5,6,71,1942 ,Proposition 8,Fish and Game Funds Restricted, Legislative Referendum , General,1,73.40000153,0,0, Budgets | Natural Resources ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,410,1238
CA411,CA,California,5,6,71,1944 ,Proposition 8,Validating Tax Deeds, Legislative Referendum , General,0,32.59999847,0,0, Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,411,1238
